gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
617555399,1988-07-22,1988,Québec,Tricholomopsis rutilans,CMMF000079,POINT (-71.672847 45.105574),21E,-71.6756081066638,45.1075067963072,"-250319,30+129022,60",P,,,,R,4,10,C,1A,30.0,R,85.0,8,10,{'RZ': 1.0},0.0033703726164918592,1,-0.0,[4.125],[10.75],[26.54321],[1073.572],[23.8],[-16.7],[40.5],[16.85],[-8.5],[16.85],[-9.650001],[1171.],[132.],[68.],[19.422709],[369.],[225.],[369.],[243.]
1144853917,1938-08-18,1938,Québec,Tricholomopsis rutilans,e52613f4-1b46-42a2-aedd-2f36252503de,POINT (-71.7 46.75),21L,-71.6989153106372,46.7529019450234,"-243968,64+311714,12",,,,,M,2,VIR,D,3AN,20.0,MM,65.0,20,VIN,"{'EB': 0.3, 'SB': 0.2, 'BJ': 0.2, 'EO': 0.2, 'FH': 0.1}",0.003098037432411425,5,1.5571130980576458,[4.0875],[10.241667],[23.762568],[1164.9199],[24.9],[-18.2],[43.1],[16.733334],[-9.866667],[17.766666],[-10.983334],[1218.],[133.],[67.],[19.620543],[366.],[227.],[365.],[247.]
4500521761,2023-10-01T11:42:32,2023,Québec,Tricholomopsis rutilans,https://www.inaturalist.org/observations/192881386,POINT (-71.371393 47.393144),21M,-71.370708543915,47.3932134385155,"-216113,38+381760,43",,,,,R,3,70,F,R1A,10.0,R,75.0,13,70,"{'EN': 0.8, 'SB': 0.2}",0.0006879693595827355,2,0.5004024235381879,[0.46249995],[10.758333],[25.01938],[1150.4014],[21.4],[-21.6],[43.],[13.133333],[-7.7833333],[14.266666],[-14.266666],[1558.],[154.],[98.],[14.838242],[438.],[305.],[436.],[374.]
1135069678,2007-07-20,2007,Québec,Tricholomopsis rutilans,CMMF008155,POINT (-68.589317 48.4206),22C,-68.5887754271716,48.4212283609838,"-6543,57+491348,48",,,,,R,3,50,C,8A,30.0,R,75.0,14,50,"{'SB': 0.7, 'EB': 0.2, 'PE': 0.1}",0.0008295412312929103,3,0.8018185525433372,[3.0791667],[8.825],[22.512754],[1077.3398],[22.4],[-16.8],[39.199997],[16.],[-9.616667],[16.],[-10.7],[888.],[93.],[46.],[22.048615],[268.],[153.],[268.],[176.]
4901508419,2024-06-17T15:27,2024,Québec,Tricholomopsis rutilans,https://www.inaturalist.org/observations/224747597,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
3873916329,2022-07-12T15:55,2022,Québec,Tricholomopsis rutilans,https://www.inaturalist.org/observations/126153365,POINT (-76.428197 45.965498),31F,-76.4288465584634,45.966974345345,"-613344,79+253100,31",,,EC,2003.0,F,1,VIN,D,1AM,20.0,F,85.0,22,VIN,"{'CR': 0.7, 'ER': 0.2, 'FT': 0.1}",0.0016129233630589037,3,0.8018185525433372,[3.7333333],[11.1],[25.284739],[1164.8378],[24.9],[-19.],[43.9],[16.416666],[-10.25],[17.25],[-11.35],[967.],[97.],[58.],[14.638688],[278.],[196.],[276.],[199.]
617554856,1989-07-05,1989,Québec,Tricholomopsis rutilans,CMMF000548,POINT (-74.064294 45.659599),31G,-74.0657029048305,45.6588707794673,"-433649,65+201698,55",,,,,F,3,30,A,5S,40.0,F,35.0,13,30,"{'EO': 0.3, 'FI': 0.2, 'FT': 0.2, 'BJ': 0.1, 'ES': 0.1, 'FH': 0.1}",0.0015859753988152387,6,1.6957425341696346,[5.2333336],[10.35],[24.410378],[1162.1421],[25.8],[-16.6],[42.4],[7.633333],[-8.666667],[18.816668],[-9.816667],[1044.],[101.],[63.],[13.959666],[289.],[211.],[287.],[231.]
617551066,1995-09-05,1995,Québec,Tricholomopsis rutilans,CMMF002552,POINT (-74.064294 45.659599),31G,-74.0657029048305,45.6588707794673,"-433649,65+201698,55",,,,,F,3,30,A,5S,40.0,F,35.0,13,30,"{'EO': 0.3, 'FI': 0.2, 'FT': 0.2, 'BJ': 0.1, 'ES': 0.1, 'FH': 0.1}",0.0015859753988152387,6,1.6957425341696346,[5.2333336],[10.35],[24.410378],[1162.1421],[25.8],[-16.6],[42.4],[7.633333],[-8.666667],[18.816668],[-9.816667],[1044.],[101.],[63.],[13.959666],[289.],[211.],[287.],[231.]
3314251218,2021-06-22T07:41:53,2021,Québec,Tricholomopsis rutilans,https://www.inaturalist.org/observations/84043161,POINT (-74.05848 45.915767),31G,-74.0600319750683,45.9143962849796,"-430872,46+230056,74",,,,,F,1,VIN,D,1A,41.0,F,75.0,22,VIN,"{'BP': 0.3, 'ES': 0.2, 'PE': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FO': 0.1}",0.002070624611019752,6,1.6957425341696346,[3.9833333],[10.316667],[24.217527],[1151.9042],[24.5],[-18.1],[42.6],[17.516666],[-9.7],[17.516666],[-10.816667],[1185.],[117.],[75.],[12.419643],[325.],[245.],[325.],[266.]
2423613041,1986-08-31,1986,Québec,Tricholomopsis rutilans,CMMF018855,POINT (-74.005679 45.988108),31G,-74.0064602892429,45.9871286266794,"-426097,89+237816,10",,,,,F,2,VIN,D,1AY,30.0,F,75.0,20,VIN,"{'BP': 0.4, 'EO': 0.2, 'ES': 0.2, 'PE': 0.1, 'SB': 0.1}",0.001252830787520495,5,1.4708084763221112,[3.6958332],[10.358334],[24.25839],[1151.8077],[24.2],[-18.5],[42.7],[17.233334],[-10.05],[17.233334],[-11.1],[1184.],[118.],[73.],[13.1053095],[326.],[242.],[326.],[264.]
