gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
1412706751,1995-09-03,1995,Québec,Postia tephroleuca,CMMF015247,POINT (-71.154732 45.455057),21E,-71.1540877524487,45.4544519884819,"-207605,87+165974,95",,,,,R,4,50,D,1AM,20.0,R,85.0,11,50,"{'SB': 0.8, 'EB': 0.1, 'EU': 0.1}",0.0008837951371084223,3,0.639031859650177,[2.0458333],[9.858334],[25.14881],[1066.8336],[20.9],[-18.3],[39.199997],[14.7],[-6.0333333],[14.7],[-11.55],[1527.],[156.],[99.],[14.004042],[443.],[312.],[443.],[351.]
1412708178,1976-09-11,1976,Québec,Postia tephroleuca,CMMF016646,POINT (-71.355922 46.765168),21L,-71.3576658551011,46.766103145493,"-217798,35+311898,53",,,,,F,2,VIN,D,5S,20.0,F,65.0,20,VIN,"{'FH': 0.4, 'ER': 0.2, 'FN': 0.2, 'EB': 0.1, 'SB': 0.1}",0.0019787692403844064,5,1.4708084763221112,[4.8416667],[10.05],[23.5363],[1164.3215],[25.9],[-16.8],[42.699997],[17.616667],[-8.95],[18.683332],[-10.083333],[1204.],[127.],[67.],[17.397215],[363.],[237.],[355.],[247.]
1412708155,1970-09-30,1970,Québec,Postia tephroleuca,CMMF016635,POINT (-71.355145 46.763778),21L,-71.353650396071,46.7607902878454,"-217658,45+311713,26",,,,,F,1,VIN,D,5A,50.0,F,65.0,24,VIN,"{'FH': 0.5, 'ER': 0.2, 'FN': 0.2, 'PA': 0.1}",0.0033406982538523138,4,1.2206072645530173,[4.8416667],[10.05],[23.5363],[1164.3215],[25.9],[-16.8],[42.699997],[17.616667],[-8.95],[18.683332],[-10.083333],[1204.],[127.],[67.],[17.397215],[363.],[237.],[355.],[247.]
1412708128,1973-09-03,1973,Québec,Postia tephroleuca,CMMF016644,POINT (-71.374844 46.780042),21L,-71.3734073678032,46.7799564370761,"-219042,87+313784,68",FR,,,,F,5,10,B,5S,20.0,F,75.0,6,10,"{'FN': 0.6, 'FX': 0.3, 'RX': 0.1}",0.0014391779191010694,3,0.8979457248567797,[4.6083336],[10.150001],[23.714952],[1167.6838],[25.7],[-17.1],[42.800003],[17.35],[-3.9999998],[18.433334],[-10.416667],[1215.],[128.],[69.],[17.370836],[366.],[238.],[356.],[253.]
1412708116,1975-10-27,1975,Québec,Postia tephroleuca,CMMF016653,POINT (-71.355922 46.765168),21L,-71.3576658551011,46.766103145493,"-217798,35+311898,53",,,,,F,2,VIN,D,5S,20.0,F,65.0,20,VIN,"{'FH': 0.4, 'ER': 0.2, 'FN': 0.2, 'EB': 0.1, 'SB': 0.1}",0.0019787692403844064,5,1.4708084763221112,[4.8416667],[10.05],[23.5363],[1164.3215],[25.9],[-16.8],[42.699997],[17.616667],[-8.95],[18.683332],[-10.083333],[1204.],[127.],[67.],[17.397215],[363.],[237.],[355.],[247.]
1412708114,1989-09,1989,Québec,Postia tephroleuca,CMMF016622,POINT (-71.384379 46.867482),21L,-71.384462313701,46.8655999952224,"-219469,87+323359,86",,,,,M,2,JIR,A,7T,50.0,MR,65.0,21,70,"{'ML': 0.5, 'SB': 0.2, 'EO': 0.2, 'BG': 0.1}",0.001883847965125064,4,1.2206072645530173,[4.1083336],[10.233334],[23.688272],[1171.8009],[25.4],[-17.8],[43.199997],[16.9],[-4.4666667],[18.083334],[-10.933333],[1295.],[136.],[76.],[17.24997],[388.],[248.],[378.],[279.]
1412708076,1989-10-02,1989,Québec,Postia tephroleuca,CMMF016642,POINT (-71.384379 46.867482),21L,-71.384462313701,46.8655999952224,"-219469,87+323359,86",,,,,M,2,JIR,A,7T,50.0,MR,65.0,21,70,"{'ML': 0.5, 'SB': 0.2, 'EO': 0.2, 'BG': 0.1}",0.001883847965125064,4,1.2206072645530173,[4.1083336],[10.233334],[23.688272],[1171.8009],[25.4],[-17.8],[43.199997],[16.9],[-4.4666667],[18.083334],[-10.933333],[1295.],[136.],[76.],[17.24997],[388.],[248.],[378.],[279.]
1412708029,1966-10-15,1966,Québec,Postia tephroleuca,CMMF016630,POINT (-71.333809 46.874016),21L,-71.3352665227937,46.8771112541637,"-215707,46+324446,40",,,,,F,2,JIR,B,1A,30.0,F,25.0,19,JIN,"{'EO': 0.4, 'ES': 0.3, 'FI': 0.1, 'FT': 0.1, 'RX': 0.1}",0.003421252845388552,5,1.4184836619456564,[4.3541665],[10.425],[23.855835],[1186.629],[26.],[-17.7],[43.7],[17.266666],[-9.566667],[18.55],[-10.866667],[1309.],[136.],[76.],[16.205893],[388.],[260.],[381.],[277.]
1412708027,1964-05-10,1964,Québec,Postia tephroleuca,CMMF016640,POINT (-71.470098 46.937798),21L,-71.4726029641384,46.9385541356988,"-225871,88+331680,21",,,,,M,3,JIR,A,2BE,20.0,MR,65.0,15,JIN,"{'ML': 0.2, 'PB': 0.2, 'SB': 0.2, 'EO': 0.3, 'PE': 0.1}",0.002616598274424478,5,1.5571130980576455,[3.4916666],[10.266666],[24.043716],[1157.2534],[24.3],[-18.4],[42.699997],[16.133333],[-5.],[17.183332],[-11.433333],[1343.],[141.],[79.],[17.766272],[401.],[254.],[388.],[288.]
1412708002,2005-09-12,2005,Québec,Postia tephroleuca,CMMF016649,POINT (-71.246332 46.734052),21L,-71.246027505991,46.7354447230169,"-209529,36+308450,60",,,,,F,3,JIR,B,5SY,30.0,F,45.0,12,30,"{'PE': 0.7, 'BP': 0.2, 'RX': 0.1}",0.0014256205677939538,3,0.8018185525433372,[4.8458333],[10.091667],[23.523699],[1166.9998],[26.],[-16.9],[42.9],[17.633333],[-8.95],[18.766666],[-10.1],[1199.],[128.],[68.],[17.783663],[361.],[231.],[357.],[249.]
