gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4599894100,2022-09-28T15:51:24,2022,Québec,Agaricus arvensis,https://www.inaturalist.org/observations/204046823,POINT (-71.228292 46.82038),21L,-71.2332924561586,46.8165672007237,"-208219,97+317431,93",,,,,F,1,VIR,A,5S,20,F,55.0,28,VIN,"{'EA': 0.4, 'ES': 0.2, 'FH': 0.2, 'FN': 0.1, 'FT': 0.1}",0.0062882430070241215,5,1.4708084763221112,[5.4333334],[10.566667],[23.7988],[1204.1752],[27.7],[-16.7],[44.4],[18.566668],[-8.650001],[20.],[-9.900001],[1257.],[134.],[68.],[18.21238],[379.],[244.],[375.],[246.]
4599821832,2023-07-29,2023,Québec,Agaricus arvensis,https://www.inaturalist.org/observations/203234178,POINT (-71.331432 46.788961),21L,-71.3325614923049,46.7921684724692,"-215700,37+315184,57",,,,,F,2,JIR,A,5A,40,F,85.0,17,JIN,"{'EO': 0.6, 'FI': 0.1, 'FT': 0.1, 'ML': 0.1, 'RX': 0.1}",0.00340053415032055,5,1.2275294114572126,[5.054167],[10.275001],[23.566513],[1187.0599],[26.7],[-16.9],[43.6],[17.983334],[-8.933333],[19.25],[-10.15],[1226.],[129.],[68.],[17.313992],[369.],[243.],[360.],[249.]
1135070865,2007-07-05,2007,Québec,Agaricus arvensis,CMMF009484,POINT (-71.265282 46.859015),21L,-71.2590984558885,46.8507532689862,"-209968,45+321230,10",,,,,F,2,JIN,B,5A,30,F,55.0,20,JIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'PE': 0.1}",0.010319516322149544,4,1.2798542258336674,[4.8416667],[10.6],[23.981901],[1200.2648],[26.9],[-17.3],[44.199997],[17.9],[-9.2],[19.3],[-10.5],[1299.],[136.],[74.],[16.665005],[387.],[256.],[381.],[267.]
617551178,1995-09-16,1995,Québec,Agaricus arvensis,CMMF002596,POINT (-74.064294 45.659599),31G,-74.0657029048305,45.6588707794673,"-433649,65+201698,55",,,,,F,3,30,A,5S,40,F,35.0,13,30,"{'EO': 0.3, 'FI': 0.2, 'FT': 0.2, 'BJ': 0.1, 'ES': 0.1, 'FH': 0.1}",0.0015859753988152387,6,1.6957425341696346,[5.2333336],[10.35],[24.410378],[1162.1421],[25.8],[-16.6],[42.4],[7.633333],[-8.666667],[18.816668],[-9.816667],[1044.],[101.],[63.],[13.959666],[289.],[211.],[287.],[231.]
3759189668,2019-09-18T12:05,2019,Québec,Agaricus arvensis,https://www.inaturalist.org/observations/91174567,POINT (-74.15172 45.549055),31G,-74.1433532847713,45.5436987545419,"-440687,56+189388,83",,,,,F,1,JIN,A,5S,40,F,95.0,22,JIN,"{'EO': 0.3, 'EA': 0.2, 'FT': 0.2, 'ES': 0.1, 'FH': 0.1, 'HG': 0.1}",0.009934348953286461,6,1.6957425341696346,[5.5625],[9.958333],[23.710318],[1153.2191],[25.9],[-16.1],[42.],[19.066666],[-8.3],[19.066666],[-9.316667],[1036.],[102.],[62.],[15.364885],[290.],[203.],[290.],[221.]
617555573,1989-10-04,1989,Québec,Agaricus arvensis,CMMF000869,POINT (-73.662984 45.509625),31H,-73.6639422063629,45.4818540694517,"-403819,23+179708,39",,,EL,,F,2,JIR,A,5A,40,F,45.0,18,JIN,"{'EO': 0.3, 'FR': 0.3, 'OR': 0.3, 'FT': 0.1}",0.027787456575808177,4,1.313834033192747,[6.775],[9.916667],[23.555029],[1158.4679],[27.4],[-14.7],[42.1],[19.383333],[-6.833333],[20.483334],[-8.15],[1003.],[97.],[62.],[12.577346],[283.],[207.],[275.],[220.]
617551500,1995-10-09,1995,Québec,Agaricus arvensis,CMMF002731,POINT (-72.999292 45.973364),31H,-72.9977870336929,45.9700390555934,"-348396,04+230376,84",,,,,F,1,JIR,A,5S,40,F,85.0,22,50,"{'EO': 0.4, 'PL': 0.3, 'PE': 0.2, 'BG': 0.1}",0.003649682026208128,4,1.2798542258336674,[5.241667],[10.216667],[23.870718],[1166.7882],[25.8],[-17.],[42.8],[18.9],[-8.916667],[18.9],[-9.8],[1007.],[100.],[60.],[16.536064],[291.],[191.],[291.],[210.]
617550726,1988-08-26,1988,Québec,Agaricus arvensis,CMMF000240,POINT (-73.662984 45.509625),31H,-73.6639422063629,45.4818540694517,"-403819,23+179708,39",,,EL,,F,2,JIR,A,5A,40,F,45.0,18,JIN,"{'EO': 0.3, 'FR': 0.3, 'OR': 0.3, 'FT': 0.1}",0.027787456575808177,4,1.313834033192747,[6.775],[9.916667],[23.555029],[1158.4679],[27.4],[-14.7],[42.1],[19.383333],[-6.833333],[20.483334],[-8.15],[1003.],[97.],[62.],[12.577346],[283.],[207.],[275.],[220.]
617548905,1992-06-13,1992,Québec,Agaricus arvensis,CMMF001610,POINT (-73.506523 45.495367),31H,-73.5200579630032,45.4966278102729,"-392477,79+180548,51",,,,,F,3,JIR,B,5A,30,F,45.0,15,JIN,"{'EA': 0.3, 'FN': 0.2, 'FT': 0.2, 'FR': 0.1, 'OR': 0.1, 'PL': 0.1}",0.013593559726653912,6,1.6957425341696346,[6.7125],[9.508333],[23.361998],[1108.9863],[26.5],[-14.2],[40.7],[19.033333],[-6.5333333],[19.816668],[-7.4333334],[1001.],[97.],[61.],[13.214903],[284.],[204.],[277.],[219.]
617548889,1992-06-20,1992,Québec,Agaricus arvensis,CMMF001603,POINT (-73.344507 45.526599),31H,-73.3431642965571,45.5363656825724,"-378363,70+183836,37",,,,,F,2,JIN,B,5S,40,F,65.0,20,JIN,"{'EA': 0.2, 'FR': 0.2, 'FT': 0.2, 'EO': 0.1, 'ES': 0.1, 'OR': 0.1, 'PL': 0.1}",0.009858546597022105,7,1.8866967846580782,[6.0958333],[10.058333],[24.00557],[1145.98],[26.4],[-15.5],[41.9],[18.533333],[-7.55],[19.533333],[-8.733334],[1026.],[97.],[63.],[12.990883],[288.],[209.],[284.],[228.]
2423613714,1989-09-28,1989,Québec,Agaricus arvensis,CMMF020006,POINT (-73.51227 45.533187),31H,-73.509967588682,45.5443932229039,"-391277,01+185835,35",,,,,F,1,50,A,3AN,50,F,75.0,28,50,{'PL': 1.0},0.011440302865272709,1,-0.0,[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38]
2423611956,1988-08-27,1988,Québec,Agaricus arvensis,CMMF018784,POINT (-73.61111 45.51805),31H,-73.6041363158905,45.5101732676429,"-398944,38+182517,05",,,,,F,1,VIR,D,1AY,30,F,85.0,24,VIN,"{'ES': 0.4, 'FR': 0.2, 'PL': 0.2, 'CR': 0.1, 'FT': 0.1}",0.01052022731144616,5,1.4708084763221112,[6.633333],[9.933333],[23.538706],[1160.0809],[27.3],[-14.9],[42.199997],[19.25],[-7.0166664],[20.333334],[-8.316667],[1030.],[100.],[63.],[12.813052],[290.],[212.],[283.],[224.]
