gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
1412703198,1944-09-09,1944,Québec,Cortinarius alboviolaceus,CMMF011668,POINT (-70.033333 47.366667),21M,-70.0326861477456,47.3744305344126,"-115610,25+376450,58",,,,,M,3,JIR,D,6S,30.0,MR,65.0,12,50,"{'TO': 0.5, 'RX': 0.1, 'ER': 0.2, 'FI': 0.1, 'FT': 0.1}",0.0077904354444864685,5,1.3592367006650063,[4.2000003],[9.566667],[23.56322],[1111.9741],[24.3],[-16.3],[40.6],[16.516666],[-4.1666665],[17.466667],[-10.],[936.],[94.],[59.],[13.417938],[271.],[193.],[267.],[210.]
1412703287,1972-08-21,1972,Québec,Cortinarius alboviolaceus,CMMF011739,POINT (-67.590575 48.434787),22B,-67.5891949349253,48.4355048389969,"+67115,50+493352,34",,,,,F,3,70,B,8A,40.0,F,75.0,16,70,"{'BP': 0.5, 'PE': 0.3, 'FN': 0.1, 'SB': 0.1}",0.0015555939174062366,4,1.1682824501765625,[1.4250001],[9.933333],[23.538706],[1138.2811],[21.9],[-20.3],[42.199997],[15.016666],[-6.983333],[15.016666],[-13.233334],[1145.],[116.],[73.],[13.555181],[322.],[229.],[322.],[264.]
1412703241,1972-08-21,1972,Québec,Cortinarius alboviolaceus,CMMF011733,POINT (-67.590575 48.434787),22B,-67.5891949349253,48.4355048389969,"+67115,50+493352,34",,,,,F,3,70,B,8A,40.0,F,75.0,16,70,"{'BP': 0.5, 'PE': 0.3, 'FN': 0.1, 'SB': 0.1}",0.0015555939174062366,4,1.1682824501765625,[1.4250001],[9.933333],[23.538706],[1138.2811],[21.9],[-20.3],[42.199997],[15.016666],[-6.983333],[15.016666],[-13.233334],[1145.],[116.],[73.],[13.555181],[322.],[229.],[322.],[264.]
617548073,1990-09-23,1990,Québec,Cortinarius alboviolaceus,CMMF001247,POINT (-74.025434 45.931985),31G,-74.0270637307228,45.9341322934047,"-428282,78+231983,15",,,,,M,3,JIR,C,1A,40.0,MF,85.0,16,JIN,"{'EO': 0.3, 'BP': 0.1, 'FO': 0.1, 'FT': 0.1, 'PB': 0.2, 'SB': 0.2}",0.0026957171948693965,6,1.6957425341696346,[4.1291666],[10.175],[23.997643],[1147.8823],[24.5],[-17.9],[42.4],[17.6],[-9.566667],[17.6],[-10.599999],[1138.],[112.],[70.],[13.420941],[314.],[231.],[314.],[253.]
4980624818,2022-09-29T16:07:31,2022,Québec,Cortinarius alboviolaceus,https://www.inaturalist.org/observations/250060772,POINT (-74.206981 45.533609),31G,-74.2087365720357,45.5327944983728,"-445886,83+188600,12",,,,,F,2,JIN,A,5A,40.0,F,45.0,18,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FH': 0.1, 'FT': 0.1}",0.0019353154970847186,5,1.4184836619456564,[5.6375],[9.708333],[23.281376],[1144.4672],[25.8],[-15.9],[41.699997],[19.05],[-8.183333],[19.05],[-9.066667],[1035.],[102.],[62.],[15.715918],[292.],[202.],[292.],[219.]
2423611900,1986-08-31,1986,Québec,Cortinarius alboviolaceus,CMMF018861,POINT (-74.005679 45.988108),31G,-74.0064602892429,45.9871286266794,"-426097,89+237816,10",,,,,F,2,VIN,D,1AY,30.0,F,75.0,20,VIN,"{'BP': 0.4, 'EO': 0.2, 'ES': 0.2, 'PE': 0.1, 'SB': 0.1}",0.001252830787520495,5,1.4708084763221112,[3.6958332],[10.358334],[24.25839],[1151.8077],[24.2],[-18.5],[42.7],[17.233334],[-10.05],[17.233334],[-11.1],[1184.],[118.],[73.],[13.1053095],[326.],[242.],[326.],[264.]
1135068868,2013-08-29,2013,Québec,Cortinarius alboviolaceus,CMMF007425,POINT (-74.116233 45.086383),31G,-74.1154295636293,45.0855808278605,"-442519,82+138397,69",,,,,F,1,VIR,B,1A,30.0,F,95.0,26,VIN,"{'ES': 0.5, 'HG': 0.2, 'TA': 0.2, 'FT': 0.1}",0.001135337017425488,4,1.2206072645530173,[6.295833],[10.125],[24.695122],[1121.9108],[26.4],[-14.6],[41.],[19.516666],[-7.0833335],[19.516666],[-8.183333],[999.],[98.],[60.],[15.023375],[287.],[195.],[287.],[208.]
1135068364,2005-09-09,2005,Québec,Cortinarius alboviolaceus,CMMF006904,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30.0,R,65.0,16,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",0.0029822925529661786,4,1.1682824501765625,[5.2166667],[10.400001],[24.413145],[1154.8088],[25.9],[-16.7],[42.6],[18.75],[-3.2333333],[18.75],[-9.733334],[1069.],[107.],[63.],[16.256067],[302.],[207.],[302.],[230.]
1024559838,2013-08-18,2013,Québec,Cortinarius alboviolaceus,CMMF005326,POINT (-74.114925 45.084255),31G,-74.1148417897157,45.0836969822898,"-442492,29+138230,60",,,,,F,2,50,A,1A,30.0,F,85.0,18,50,"{'FT': 0.3, 'EO': 0.2, 'ES': 0.2, 'TA': 0.2, 'HG': 0.1}",0.0005641876605419376,5,1.5571130980576458,[6.295833],[10.125],[24.695122],[1121.9108],[26.4],[-14.6],[41.],[19.516666],[-7.0833335],[19.516666],[-8.183333],[999.],[98.],[60.],[15.023375],[287.],[195.],[287.],[208.]
1024559326,2012-09-24,2012,Québec,Cortinarius alboviolaceus,CMMF004546,POINT (-74.114613 45.084552),31G,-74.1148417897157,45.0836969822898,"-442492,29+138230,60",,,,,F,2,50,A,1A,30.0,F,85.0,18,50,"{'FT': 0.3, 'EO': 0.2, 'ES': 0.2, 'TA': 0.2, 'HG': 0.1}",0.0008850988751340529,5,1.5571130980576458,[6.295833],[10.125],[24.695122],[1121.9108],[26.4],[-14.6],[41.],[19.516666],[-7.0833335],[19.516666],[-8.183333],[999.],[98.],[60.],[15.023375],[287.],[195.],[287.],[208.]
1024558819,2012-09-17,2012,Québec,Cortinarius alboviolaceus,CMMF004486,POINT (-74.114468 45.086844),31G,-74.1154295636293,45.0855808278605,"-442519,82+138397,69",,,,,F,1,VIR,B,1A,30.0,F,95.0,26,VIN,"{'ES': 0.5, 'HG': 0.2, 'TA': 0.2, 'FT': 0.1}",0.0015875164462815458,4,1.2206072645530173,[6.295833],[10.125],[24.695122],[1121.9108],[26.4],[-14.6],[41.],[19.516666],[-7.0833335],[19.516666],[-8.183333],[999.],[98.],[60.],[15.023375],[287.],[195.],[287.],[208.]
